SCIENTIFIC NAME	OBSERVATION COUNT	LATITUDE	LONGITUDE	OBSERVATION DATE
Turdus flavipes	1	-20.49277	-41.02675	2016-10-30
Turdus flavipes	1	-20.49277	-41.02675	2016-10-30
Turdus flavipes	1	-20.49277	-41.02675	2016-10-31
Turdus flavipes	1	-20.49277	-41.02675	2016-10-14
Turdus flavipes	2	-20.485127	-40.99445	2016-10-30
Turdus flavipes	2	-20.485127	-40.99445	2016-10-30
Turdus flavipes	1	-20.49277	-41.02675	2016-10-30
Turdus flavipes	1	-20.49277	-41.02675	2016-10-31
Turdus flavipes	1	-19.1504872	-40.0681686	2016-10-22
Turdus flavipes	1	-20.6726204	-41.013293299999994	2016-10-22
Turdus flavipes	1	-20.49277	-41.02675	2016-10-31
Turdus flavipes	1	-20.49277	-41.02675	2016-10-31
Turdus flavipes	1	-20.49277	-41.02675	2016-10-13
Turdus flavipes	1	-20.49277	-41.02675	2016-11-11
Turdus flavipes	1	-20.505144100000003	-41.8062884	2016-11-13
Turdus flavipes	1	-20.580246300000002	-41.77533	2016-11-17
Turdus flavipes	1	-20.438514399999995	-41.7973995	2016-11-13
Turdus flavipes	1	-19.919722	-40.644721999999994	2017-02-18
